13622  0.223  
13620  0.23  
13618  0.238  
13616  0.258  
13614  0.252  
13612  0.258  
13610  0.278  
13608  0.288  
13606  0.291  
13604  0.313  
13602  0.32  
13600  0.325  
13598  0.333  
13596  0.34  
13594  0.351  
13592  0.365  
13590  0.385  
13588  0.412  
13586  0.432  
13584  0.45  
13582  0.479  
13580  0.511  
13578  0.525  
13576  0.539  
13574  0.546  
13572  0.566  
13570  0.58  
13568  0.601  
13566  0.626  
13564  0.653  
13562  0.662  
13560  0.685  
13558  0.7  
13556  0.711  
13554  0.737  
13552  0.754  
13550  0.769  
13548  0.797  
13546  0.827  
13544  0.867  
13542  0.896  
13540  0.917  
13538  0.955  
13536  0.989  
13534  1.031  
13532  1.074  
13530  1.122  
13528  1.167  
13526  1.208  
13524  1.256  
13522  1.297  
13520  1.358  
13518  1.422  
13516  1.471  
13514  1.523  
13512  1.579  
13510  1.648  
13508  1.718  
13506  1.791  
13504  1.862  
13502  1.926  
13500  1.996  
13498  2.071  
13496  2.155  
13494  2.245  
13492  2.335  
13490  2.429  
13488  2.521  
13486  2.618  
13484  2.721  
13482  2.837  
13480  2.95  
13478  3.073  
13476  3.197  
13474  3.328  
13472  3.47  
13470  3.616  
13468  3.777  
13466  3.941  
13464  4.097  
13462  4.276  
13460  4.46  
13458  4.649  
13456  4.849  
13454  5.063  
13452  5.289  
13450  5.505  
13448  5.75  
13446  5.992  
13444  6.255  
13442  6.516  
13440  6.793  
13438  7.092  
13436  7.385  
13434  7.715  
13432  8.054  
13430  8.397  
13428  8.76  
13426  9.14  
13424  9.535  
13422  9.935  
13420  10.358  
13418  10.802  
13416  11.247  
13414  11.725  
13412  12.207  
13410  12.721  
13408  13.245  
13406  13.766  
13404  14.317  
13402  14.885  
13400  15.472  
13398  16.084  
13396  16.698  
13394  17.332  
13392  17.989  
13390  18.671  
13388  19.36  
13386  20.078  
13384  20.818  
13382  21.567  
13380  22.343  
13378  23.117  
13376  23.926  
13374  24.753  
13372  25.612  
13370  26.445  
13368  27.301  
13366  28.165  
13364  29.057  
13362  29.967  
13360  30.861  
13358  31.784  
13356  32.713  
13354  33.646  
13352  34.584  
13350  35.519  
13348  36.467  
13346  37.433  
13344  38.387  
13342  39.362  
13340  40.331  
13338  41.315  
13336  42.288  
13334  43.28  
13332  44.255  
13330  45.224  
13328  46.216  
13326  47.189  
13324  48.161  
13322  49.129  
13320  50.09  
13318  51.059  
13316  52.019  
13314  52.956  
13312  53.9  
13310  54.817  
13308  55.727  
13306  56.628  
13304  57.527  
13302  58.398  
13300  59.273  
13298  60.138  
13296  60.968  
13294  61.797  
13292  62.616  
13290  63.405  
13288  64.182  
13286  64.934  
13284  65.68  
13282  66.415  
13280  67.125  
13278  67.821  
13276  68.498  
13274  69.156  
13272  69.807  
13270  70.432  
13268  71.034  
13266  71.609  
13264  72.182  
13262  72.733  
13260  73.259  
13258  73.779  
13256  74.277  
13254  74.751  
13252  75.2  
13250  75.638  
13248  76.059  
13246  76.468  
13244  76.857  
13242  77.228  
13240  77.571  
13238  77.916  
13236  78.232  
13234  78.545  
13232  78.848  
13230  79.126  
13228  79.393  
13226  79.643  
13224  79.883  
13222  80.11  
13220  80.318  
13218  80.518  
13216  80.688  
13214  80.855  
13212  81.004  
13210  81.148  
13208  81.288  
13206  81.406  
13204  81.523  
13202  81.622  
13200  81.718  
13198  81.79  
13196  81.856  
13194  81.924  
